"program";"beneficient";"project_value";"cofinancing_value";"category";"many_administrative_units";"thumbnailImageUrl";"thumbnailImageUrl_wojewodztwo";"url";"outside_id";"powiat";"thumbnailImageUrl_program";"dzialanie";"fundusz";"perspektywa";"opisProjektu"
"Rozwój działalności artystycznej i edukacyjnej NFM poprzez zakup sprzętu i wyposażenia";"NARODOWE FORUM MUZYKI";"29740880.51";"20792911.76";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/b7220d55998ef807e54afd90b11f635e.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747092/";"747092";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Założeniem projektu jest podniesienie poziomu regionalnej infrastruktury kultury, a tym samym zwiększenie udziału społeczeństwa w kulturze, w tym osób niepełnosprawnych i wykluczonych poprzez optymalizację możliwości funkcjonalnych Narodowego Forum Muzyki w zakresie realizacji szerszych programów kulturowych i edukacyjnych.</p><p>W ramach projektu planowany jest zakup:</p><ul><li>wyposażenia i sprzętu scenicznego, w tym w szczególności: pulpity orkiestrowe, statywy sceniczne, krzesła sceniczne, podesty i akcesoria, widownia mobilna, wyposażenie sceny, w tym podłoga baletowa, zastawki sceniczne, kulisy, horyzonty</li><li>wyposażenia i sprzętu nagłośnieniowego, w tym w szczególności: mikrofony, przewody i akcesoria, statywy, miksery, systemy odschłuchów scenicznych, systemy rejestracji wielośladowej, parawany akustyczne, wzmacniacze i głośniki, zestawy stereo</li><li>wyposażenia i sprzętu oświetleniowego, prezentacyjnego i realizacji wideo, w tym w szczególności: uzupełnienie sprzętu oświetleniowego, uzupełnienie sprzętu do zasilania i okablowania, skrzynie do przewożenia i magazynowania sprzętu, rozszerzenie funkcjonalności sterowania oświetleniem koncertów, dodatkowe konstrukcje do podwieszania oświetlenia, scenografii, systemy mocowań, system oświetlenia wyjazdowego, systemy projekcji multimedialnej, uzupełnienie wyposażenia posiadanego systemu projekcji i obsługi multimediów, system realizacji wideo</li><li>instrumentów muzycznych – w tej grupie kluczowe są organy, ale poza nimi planuje się zakup instrumentów w każdej z grup: strunowych, dętych, perkusyjnych oraz elektrycznych oraz akcesoriów do nich</li><li>wyposażenia i sprzętu do studia fotograficznego</li><li>sprzętu i wyposażenia komputerowego oraz oprogramowania do projektowania i realizacji wydarzeń</li><li>wyposażenie ułatwiającego korzystanie z oferty NFM niepełnosprawnym – platformy schodowej.</li></ul><p>Fot. Michał Zięba/MKiDN</p>"
"Modernizacja Zespołu Budynków Panoramy Racławickiej – etap III";"MUZEUM NARODOWE WE WROCŁAWIU";"29730413.71";"18227184.57";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/3c335ca53affe6bfbc04d7f29d2af4b7.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747015/";"747015";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Modernizacja Zespołu Budynków Panoramy Racławickiej obejmowała prace budowlane i aranżacyjne, wyposażenie obiektu Panoramy Racławickiej w nowoczesny system nagłośnienia oraz zakup zaawansowanego technologicznie i&nbspatrakcyjnego wizualnie systemu wystawienniczego Małej Rotundy. Realizacja projektu przyczyniła się do poprawy obsługi zwiedzających oraz podwyższyła komfort funkcjonowania instytucji w zabytkowym wrocławskim obiekcie.</p><p>Remont rotundy przywrócił Panoramie Racławickiej wygląd adekwatny do wartości kulturalnej dzieła, poprawił bezpieczeństwo budynku oraz samego obrazu. Zmodernizowane systemy ekspozycyjne i&nbspinformacyjne oraz wyposażenie obiektu w urządzenia interaktywne pozwoliły na poszerzenie działalności edukacyjnej również wśród najmłodszych dzieci i osób z niepełnosprawnościami.</p><p>Dzięki modernizacji zabytkowego obiektu zwiększyła się różnorodność oferty kulturalnej oraz edukacyjnej Muzeum Narodowego we Wrocławiu. Przeprowadzone prace umożliwiły jeszcze bardziej atrakcyjne zaprezentowanie cennego i wartościowego dziedzictwa kulturowego, jakim jest to wyjątkowe dzieło z&nbspkońca XIX wieku wybitnych polskich malarzy. Ze względu na nowatorskie systemy wystawiennicze, w&nbsptym mapping, uatrakcyjniony przekaz dotrze do osób z dysfunkcjami i do grup wykluczonych.</p><p>Realizacja projektu przyczyni się do popularyzacji wiedzy na temat wydarzeń z czasów insurekcji kościuszkowskiej, dziejów architektonicznej „oprawy” malowidła, tj. zespołu budynków Panoramy Racławickiej, oraz historii samej „Bitwa pod Racławicami”.</p>"
"Konserwacja i renowacja drewnianego obiektu zabytkowego UNESCO - Kościoła Pokoju w Świdnicy, w celu ochrony dziedzictwa kulturowego";"PARAFIA EWANGELICKO-AUGSBURSKA PW. ŚW. TRÓJCY W ŚWIDNICY";"19756782.87";"16793265.43";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/3883af12dd8f1caee00c94f81da93480.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747041/";"747041";"świdnicki (dolnośląskie)";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Projekt swoim zakresem i osiągnięciem celów szczegółowych przyczynia się do realizacji celu głównego inwestycji jakim jest ochrona i rozwój dziedzictwa kulturowego poprzez renowację oraz zapewnienie oferty kulturalnej, edukacyjnej i społecznej w Kościele Pokoju – obiekcie UNESCO.</p><p>Zakres rzeczowy projektu obejmuje przeprowadzenie prac konserwatorskich przy fragmentach wystroju wnętrza Kościoła Pokoju, w tym w szczególności:</p><ul><li>Prace konserwatorskie w obrębie Hali Polnej wraz z przylegającymi lożami.</li><li>Prace konserwatorskie w obrębie Hali Zmarłych i Hali Pamięci wraz z zakonserwowaniem i osadzeniem tablic komemoratywnych, w tym także konserwacja ławek i podłóg oraz drzwi pomiędzy Halą Pamięci a nawą.</li><li>Prace konserwatorskie w obrębie Hali Ołtarzowej, w tym ściana szachulcowa za ołtarzem, stropy, loża szpiegów, drzwi pomiędzy Halą Chrztów i Halą Ołtarzową wraz z lampą w Hali Chrztów.</li><li>Prace konserwatorskie w obrębie 11-stu Epitafiów.</li><li>Prace towarzyszące powyższym pracom konserwatorskim. a. Elementy polichromowane (malowidła na stropie, obrazy olejne, na płótnie na stropie, polichromowane deskowane obudowy mieczy, podniebia schodów, obrazy i inskrypcje na przedpiersiach empor, polichromowane stropy z dekoracją roślinną, polichromowane deskowe okładziny ścian, obrazy) b. Elementy złocone (rzeźby, ramki i profile empor i loży, dekoracyjne elementy ornamentalne, epitafia) c. Elementy niepolichromowane (ławki, podłogi, odwrocia empor i ich parapety, schody, drzwi) d. Posadzki z kamienia naturalnego.</li></ul><p>Fot. Michał Zięba/MKiDN</p>"
"Ruska 46 abc – przestrzeń dla kultury";"GMINA WROCŁAW";"17554808.73";"8613226.21";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/86df90394712eeb595613a255f56484e.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747064/";"747064";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Celem projektu jest ułatwienie dostępu do kultury i zwiększenie udziału mieszkańców w działaniach kulturalnych poprzez stworzenie w centrum Wrocławia otwartej i przyjaznej dla użytkowników przestrzeni, sprzyjającej różnorodnym inicjatywom o charakterze artystycznym i kulturalnym.</p><p>W ramach projektu zaplanowano następujące zadania budowlane (infrastrukturalne, kwalifikowalne):</p><ul><li>remont elewacji segmentów B i C</li><li>przebudowa i remont segmentu C</li><li>odciążenie i izolacja stropów segmentu B</li><li>remont i konserwacja w częściach wspólnych segmentu B</li><li>przebud. piwnic o pow. ok. 400m2 na pracownie rzeźby, szkła i ceramiki dla Ogniska</li><li>przebud. lokalu o pow. ok. 360m2 dla KpK w celu stworzenia sali koncertowo-ekspozycyjnej. Powstanie tam Galeria Instrumentów Muzycznych Pawła Romańczuka, prezentująca autorskie instrumenty muzyczne i małe instrumenty (Toy Piano), warsztat z pracownią i studiem nagrań, zapleczem socj. i biurem.</li><li>adaptacja rampy na plenerową scenę</li><li>przebudowa lokalu o pow. ok. 140m2 na salę prób Kameralistów</li><li>aranżacja lokalu na parterze o pow. ok. 140m2 jako recepcji R46, kawiarni i miejsca spotkań.</li></ul><p>Dodatkowo zaplanowano zakup sprzętu i wyposażenia do prowadzenia działalności kulturalnej:</p><ul><li>wyposażenie plenerowej sceny</li><li>wyposażenie pracowni Ogniska</li><li>wyposażenie sali prób Kameralistów</li><li>wyposażenie lokalu Klubu pod Kolumnami</li><li>wyposażenie pow. wystawienniczych</li><li>wyposażenie recepcji</li></ul><p>Fot. Paweł Ulatowski/MKiDN</p>"
"Adaptacja budynku byłego dworca kolejowego wraz z otoczeniem na centrum muzealno-kulturalne w Świeradowie-Zdroju";"GMINA MIEJSKA ŚWIERADÓW-ZDRÓJ";"6162830.24";"5059334.96";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/114dc06b0f3dbe84c44cd820e7ae5009.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753524/";"753524";"lubański";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>To wyjątkowe miejsce powstało w budynku dawnego dworca PKP w Świeradowie Zdroju – kurorcie uzdrowiskowym położonym u stóp Gór Izerskich. Od marca 2019 działa tu Miejskie Centrum Kultury, Aktywności i Promocji Gminy „Stacja Kultury”, zwane też Sercem Miasta.</p><p>Zabytkowy budynek zaadaptowano w taki sposób, aby spełniał funkcje kulturalne i integracyjne. Mieszczą się tu: sala widowiskowa, studio nagrań, pracownia fotograficzna czy sale warsztatowe. Cyberjelonki, czyli nauka programowania dla dzieci, nauka gry na gitarze czy perkusji, zajęcia z emisji głosu, warsztaty modelarskie czy z makramy – takie umiejętności i wiele więcej można zdobyć na zajęciach organizowanych w Centrum.</p><p>Niewątpliwą atrakcją tego miejsca i to nie tylko dla najmłodszych jest makieta kolejowa, przedstawiająca fragmenty linii kolejowych nr 317 i 336 z lat 1945-1970 na odcinku Gryfów Śląski – Mirsk – Świeradów-Zdrój – Świeradów Nadleśnictwo. Makieta waży niemal 800 kg, a łączna długość torów wynosi ok. 105 metrów. Zadbano także o wszystkie detale – zobaczymy na niej &nbsp5 lokomotyw i 2 wagony motorowe, 28 wagonów, 40 zwrotnic, ok. 600 drzewek i krzewów oraz 200 figurek przedstawiających ludzi i zwierzęta.</p><p>Natomiast przed budynkiem podziwiać można lokomotywę, która została wyprodukowana w 1918 r., w niemieckiej fabryce pojazdów szynowych Borsig w Berlinie. Lokomotywy tego typu produkowane były w latach 1910-1922 i należały do najbardziej udanych konstrukcji i najliczniejszych serii parowozów eksploatowanych w PKP. Zrewitalizowano także peron oraz magazyn towarowy, a na dawnym nasypie torowiska stanęły ławeczki i latarnie. Pozostawiono również jeden tor kolejowy, a w przyszłości planowane jest uruchomienie kolejki turystycznej.</p><p>Pomysł miasta, wsparty funduszami unijnymi, wyróżniło jury ubiegłorocznej edycji ogólnopolskiego konkursu Ministra Kultury i Dziedzictwa Narodowego oraz Generalnego Konserwatora Zabytków „Zabytek Zadbany”. Doceniono jego konserwację, która przywróciła miastu zespół zabudowań historycznego dworca, umożliwiając jego wykorzystanie jako ośrodka kultury.</p>"
"Program konserwatorski pilnych prac restauratorskich katastrofalnego stanu elewacji, odwodnienia i osuszenia kościoła pw. Wniebowzięcia NMP i św. Mikołaja - Bolesławieckiej Bazyliki Maryjnej";"PARAFIA RZYMSKOKATOLICKA PW. WNIEBOWZIĘCIA NAJŚWIĘTSZEJ MARYI PANNY I ŚW. MIKOŁAJA";"5772157.5";"4906333.89";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/0f173b2210b17bcbeec5a70f31b45778.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753530/";"753530";"bolesławiecki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<h1 class=white><span style=font-size: 12pt>Renowacja Bazyliki Wniebowzięcia NMP i św. Mikołaja w Bolesławcu</span></h1><p style=text-align: justify>Bolesławiecka świątynia pw. Wniebowzięcia NPM i św. Mikołaja jest najstarszym, położonym w centrum bolesławieckiej starówki kościołem wzniesionym z kamienia. Jego bogata historia sięga XIII w., a dzisiejsza struktura architektoniczna pochodzi z lat 1482-1492. Finalnie Kościół został przebudowany w XVII wieku według barokowego stylu oraz wizji architektonicznej Giulio Simonettiego.</p><p style=text-align: justify>W bogatym wnętrzu kościoła możemy znaleźć najwyższej klasy zabytki sztuki sznycerskiej. Centralny punkt świątyni stanowi rzeźbiony ołtarz przedstawiający scenę Wniebowzięcia Najświętszej Marii Panny, otoczonej przez liczne posągi świętych. Tym co bez wątpienia również zwróci uwagę odwiedzających jest piękna, barokowa ambona pochodząca z XVIII w. Wykonano ją z obficie złoconego i srebrzonego, polichromowanego drewna &nbspi zwieńczono imponującym baldachimem. W kościele nie brakuje również pięknego zbioru obrazów sakralnych.</p><p style=text-align: justify>Od 7 października 2012 r. świątynia nosi miano Bazyliki Mniejszej i jest &nbspbez wątpienia unikatowym, wysokiej klasy zabytkiem będącym skarbem sztuki barokowej &nbspi jednym z ważniejszych miejsc kultu religijnego nie tylko na mapie Dolnego Śląska, ale także Polski i Europy.</p><p style=text-align: justify>Dzięki ogromnemu wsparciu funduszy unijnych, możliwe było przywrócenie temu cennemu zabytkowi jego pierwotnej świetności. W świątyni zostały przeprowadzone liczne prace remontowe m.in.: odnowienie mocno zniszczonej elewacji, przywrócenie systemu odwodnienia obiektu oraz położenie nowych posadzek&nbsp wewnątrz i na zewnątrz kościoła. Dla zwiększenia bezpieczeństwa zamontowano także nowoczesny system przeciwpożarowy.</p><p style=text-align: justify>Świątynię corocznie odwiedzają rzesze wiernych i turystów, &nbspdlatego parafia zainwestowała w nowoczesny, multimedialny system obsługi zwiedzających w postaci dostępnych w kilku językach audiobook’ów.</p>"
"„Rewaloryzacja i rozbudowa siedziby Legnickiej Biblioteki Publicznej w Legnicy przy ul. Piastowskiej 22”. Etap I - rewaloryzacja";"LEGNICKA BIBLIOTEKA PUBLICZNA";"5763322.18";"4757247.85";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/4a6b9f1df69029f1a3fb2e8bf3b306e8.jpeg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753516/";"753516";"m. Legnica";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<h1 class=white><span style=font-size: 12pt>Diabelskie odkrycie w bibliotece</span></h1><p style=text-align: justify>Ponad rok trwał remont biblioteki publicznej w Legnicy. Zabytkowy budynek przy ul. Piastowskiej 22, w którym się mieści ta instytucja, powstał pod koniec XIX wieku według projektu berlińskiego architekta, Jurgena Krögera, jako siedziba loży masońskiej („Loża Pitagoras”). Po dojściu do władzy naziści zakazali działalności organizacjom wolnomularskim, więc siedzibę loży przekazano NSDAP. Do końca wojny znajdowały się tu urząd opieki społecznej oraz stołówka. Potem budynek, aż do lat 60. XX w., zajmowali Rosjanie. Biblioteką stał się w 1970 roku.</p><p style=text-align: justify>Ta neogotycka budowla powstała z cegły. Dekorowana elewacja – gzymsy, rozety, fryzy, itp., oraz różnorodne wnętrze, bogate w niepospolite detale, sprawiają, że jest to jeden z ważniejszych i ciekawszych zabytków w Legnicy.</p><p style=text-align: justify>Do odzyskania dawnej świetności przyczyniła się dotacja unijna. Prace, nad którymi czuwał konserwator zabytków, obejmowały m.in. renowację ścian zewnętrznych, remont dachu, wymianę stolarki okiennej i drzwiowej, modernizację pomieszczeń, instalację windy, a także dostosowanie obiektu do potrzeb osób z niepełnosprawnościami. Zadbano również o teren wokół – powstało nowe ogrodzenie, drogi dojazdowe, zieleń, monitoring, stojaki na rowery. W plenerze – z ławkami i leżankami – zagościła strefa Zielono Zaczytani, gdzie można poczytać książki i czasopisma w cieplejsze dni.</p><p style=text-align: justify>Podczas remontu na ścianie piwnicznej odsłonięte zostały oryginalne polichromie (wielobarwne ozdoby ścian, sufitów lub sklepień), przedstawiające m.in. diabła, który przyłapał kobietę na kradzieży wina, mieszczan i żabę z butelką trunku. Zgodnie ze swoim przeznaczeniem sprzed wieków, sale te znów stały się miejsce spotkań i dyskusji.</p><p style=text-align: justify>Zmieniło się również całe wnętrze biblioteki – pomieszczenia zyskały na funkcjonalności, powstała scena z nagłośnieniem, przesuwne regały, sala z komputerami, strefa dla młodzieży z interaktywną ścianą. &nbspStworzone zostały warunki do organizowania występów, wystaw i koncertów, czyli wszelakich wydarzeń kulturalnych i edukacyjnych.</p><p style=text-align: justify>Nową odsłonę biblioteki docenili legniczanie i eksperci. Architekci Krzysztof Chamielec oraz Piotr Lisowski za projekt rewaloryzacji budynku Legnickiej Biblioteki Publicznej otrzymali nagrodę „Żółta Poziomica 2018”. Ten legnicki plebiscyt co roku wyróżnia najładniejsze budynki w mieście. Te dopiero zbudowane, jak i te, które zostały odrestaurowane.</p>"
"Rewitalizacja zespołu pałacowo-parkowego Marianny Orańskiej – nowe oferty kulturalne i edukacyjne";"GMINA KAMIENIEC ZĄBKOWICKI";"6951695.41";"4724658.44";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/240055aabca104cc41e0de24cfa24674.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753515/";"753515";"ząbkowicki";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<h1 class=white><span style=font-size: 10pt>Nowa odsłona pałacu Marianny Orańskiej w Kamieńcu Ząbkowickim</span></h1><p>W Kamieńcu Ząbkowickim mamy do czynienia z wieloprzestrzenną kompozycją krajobrazową, której centrum stanowi monumentalna rezydencja z otaczającym ją parkiem na Górze Zamkowej. Pałac w Kamieńcu Ząbkowickim to perła architektoniczna Dolnego Śląska i wyraz kunsztu architektury neogotyckiej. Ta imponująca okazałą formą, kubaturą i bogactwem rozwiązań architektonicznych budowla, została wzniesiona z inicjatywy Marianny Orańskiej, córki króla Holandii Wilhelma I Orańskiego. Budowę pałacu rozpoczęto&nbsp wiosną 1839 r. i ukończono 33 lata później, w maju 1872 r. Pałac ma ciekawą i burzliwą historię.</p><p>Podczas II wojny światowej budowla służyła Niemcom za magazyn przejściowy dla rabowanych dzieł sztuki. W 1946 roku wskutek podpalenia przez radzieckich żołnierzy obiekt został całkowicie strawiony przez ogień. Kolejne, powojenne lata również nie były łaskawe dla pałacu. Dzieła zniszczenia dopełnili okoliczni mieszkańcy,&nbsp kradnąc z rezydencji wszystko co tylko się da.&nbsp W 1984 r. budynek został wynajęty prywatnemu przedsiębiorcy. Po trwającej przeszło 40 lat dzierżawie w &nbsp2012 roku, pałac trafił pod zarząd Gminy Kamieniec Ząbkowicki, która natychmiast zarządziła prace remontowo-rewitalizacyjne.</p><p>Dzięki blisko pięciomilionowemu wsparciu funduszy unijnych zespół pałacowo-parkowy Marianny Orańskiej razem z 120-hektaorwym parkiem przeszedł prace remontowo-rewitalizacyjne i mógł zostać udostępniony zwiedzającym. Rewitalizację przeszło mauzoleum, gdzie oczyszczono wnętrze i otoczenie, odnowiono mury i wnętrza. W samym pałacu wymieniono stolarkę okienną parteru i zrekonstruowano balustradę tarasu widokowego. Ponadto trasy edukacyjno-turystyczne zyskały nowe oświetlenie wewnątrz ogrodzonego zespołu pałacowo-parkowego. Z myślą o zwiedzających uruchomiono aplikację mobilną, która ułatwia odnajdywanie się w przestrzeni i uatrakcyjnia zwiedzanie całego kompleksu. Pałac Marianny Orańskiej na nowo cieszy oczy zwiedzających.</p>"
"Poprawa warunków prowadzenia działalności kulturalnej poprzez unowocześnienie zaplecza technicznego, w tym scenicznego, Opery Wrocławskiej";"OPERA WROCŁAWSKA";"7337681.96";"4437272.13";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/133df35a5cad567272585676dca1833b.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/747044/";"747044";"m. Wrocław";"Program Operacyjny Infrastruktura i Środowisko 2014-2020";"8.1. Ochrona dziedzictwa kulturowego i rozwój zasobów kultury";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Celem głównym projektu jest poprawa rozwoju zasobów kultury, jako miejsc prezentacji dziedzictwa kulturowego, poprzez unowocześnienie zaplecza technicznego, w tym scenicznego, Opery Wrocławskiej. W ramach projektu zrealizowane zostaną następujące zadania: • Zakup sprzętu oświetleniowego do realizacji spektakli Opery Wrocławskiej oraz prace instalatorskie. • Zakup komputerów wraz z wyposażeniem, oprogramowaniem oraz modernizacja sieci. • Zakup sprzętu multimedialnego do realizacji spektakli Opery Wrocławskiej oraz prace instalatorskie. • Zakup wraz z uruchomieniem systemu mikroportów i mikrofonów bezprzewodowych z osprzętem dla Opery Wrocławskiej. • Zakup i montaż nowoczesnego systemu zasilania i sterowania napędami mechaniki sceny etap II, w tym scena obrotowa • Modernizacja windy. • Działania informacyjno-promocyjne.</p>"
"Zaadoptowanie zabytkowego pałacyku w Ścinawie z przeznaczeniem na centrum pracy twórczej z funkcją schroniska młodzieżowego";"GMINA ŚCINAWA";"6161679.48";"3877855.25";"kultura i sztuka";"NIE";"https://mapadotacji.gov.pl/sb-user-files/4d2c7d32857da1b4b4dc953312f676a7.jpg";"dolnośląskie";"https://mapadotacji.gov.pl/projekty/753527/";"753527";"lubiński";"Regionalny Program Operacyjny Województwa Dolnośląskiego 2014-2020";"4.3. Dziedzictwo kulturowe";"Europejski Fundusz Rozwoju Regionalnego";"2014 - 2020";"<p>Walory przyrodnicze i kulturowe Ścinawy przyciągają wielu turystów. Głównym powodem jest położenie miasta – w pobliżu znajdują się bowiem liczne starorzecza Odry oraz rozciąga się największy kompleks odrzańskich lasów lęgowych. Gmina stara się w jak największym stopniu wykorzystać swój potencjał i stawia na rozwój turystyki. Dzięki wsparciu ze środków unijnych wyremontowała zabytkowy pałacyk w Ścinawie, w którym powstało schronisko młodzieżowe.</p><p>W „Pałacyku” dostępnych jest około 70 miejsc noclegowych. Budowa obiektu została oparta o nowoczesne rozwiązania, pozytywnie wpływające na środowisko naturalne. Zainstalowano m.in. energooszczędne oświetlenie wyposażone w inteligentny system zarządzania mocą w zależności od warunków zewnętrznych – co wpływa na mniejszy pobór energii. Powstał również nowy system ogrzewania z piecem gazowym. W budynku, który pełni dodatkowo rolę domu pracy twórczej, mieszczą się m.in. nowoczesna sala edukacyjna, jadalnia, winda dostosowana do potrzeb osób z niepełnosprawnościami oraz cafe bar. Inwestycja obejmowała także zagospodarowanie terenu wokół budynku oraz odświeżenie elewacji, remont schodów.</p><p>W przebudowanym „Pałacyku” odbywają się różnego rodzaju wydarzenia tj. warsztaty, seminaria, konferencje, przeglądy kabaretowe, koncerty, a nawet kolonie dla dzieci. W schronisku powstały również nowe miejsca pracy dla okolicznych mieszkańców.</p>"
